,CO_PAIS,NO_PAIS
270,873,"Wake, Ilha"
271,875,"Wallis e Futuna, Ilhas"
272,888,"Congo, República Democrática"
273,890,Zâmbia
274,895,Zona do Canal do Panamá
275,990,Provisão de Navios e Aeronaves
276,994,A Designar
277,995,Bancos Centrais
278,997,Organizações Internacionais
279,998,Sem informação
280,999,Não Declarados
